SK_ID_CURR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,CNT_CHILDREN,CNT_FAM_MEMBERS,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT,NAME_CONTRACT_TYPE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,OCCUPATION_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY
100156,165500.0,354000.0,17190.0,346000.0,-944,-4901,-3456,,0.1148243454032761,0.1132538322172782,2,4,0.00963,1,Cash loans,Commercial associate,Higher education,House / apartment,Laborers,N,Y
100158,162000.0,684000.0,35370.0,615000.0,-1416,-5172,-5575,0.3052772109419082,0.283127779594026,0.3592358982140842,0,2,0.00496,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Managers,N,Y
100162,125100.0,551000.0,44250.0,456000.0,-840,-5539,-1649,,0.12083347808894009,0.4087513354077813,1,3,0.02866,2,Revolving loans,State servant,Secondary / secondary special,House / apartment,Accountants,N,Y
100166,373900.0,1303000.0,83260.0,1198000.0,-1715,-8114,-505,,0.16630698481226922,0.3579651124307097,1,3,0.02866,2,Cash loans,Commercial associate,Higher education,House / apartment,Managers,Y,N
100167,149300.0,430000.0,12080.0,370000.0,-3939,-3088,-321,,0.059620180328804576,0.06090778727650217,0,1,0.00963,2,Cash loans,Working,Incomplete higher,House / apartment,Sales staff,Y,Y
100202,183600.0,505000.0,16340.0,435000.0,-1047,-5553,-5923,0.16512499497933214,0.09121930481296546,0.12787744417373445,0,2,0.00496,2,Revolving loans,Commercial associate,Secondary / secondary special,House / apartment,Sales staff,Y,Y
100237,215300.0,845000.0,43930.0,815000.0,365243,-2290,-874,,0.05628909602573628,0.06602233236682711,0,2,0.00496,2,Cash loans,Pensioner,Higher education,House / apartment,Sales staff,N,Y
100245,122800.0,565000.0,6320.0,563000.0,365243,-292,-3714,,0.10203766120698722,0.12399967900211233,0,2,0.04622,2,Cash loans,Pensioner,Higher education,House / apartment,Laborers,Y,N
100246,58400.0,194000.0,12510.0,189000.0,-2114,-4354,-4119,,0.1277258031210564,0.11073852851674987,1,2,0.04622,2,Cash loans,Working,Secondary / secondary special,House / apartment,Accountants,Y,Y
100258,138200.0,779000.0,6950.0,708000.0,-2156,-5281,-2297,,0.09192346892757493,0.16767402538373774,0,1,0.02866,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Accountants,Y,Y
100284,82100.0,369000.0,9300.0,332000.0,365243,-1567,-3007,,0.19712537579046083,0.24033656892595484,2,4,0.00496,3,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Managers,Y,Y
100291,179500.0,1263000.0,38800.0,1143000.0,-1228,-4998,-3705,,0.10019065370436335,,1,2,0.01885,2,Cash loans,Commercial associate,Higher education,House / apartment,Managers,Y,Y
100300,174100.0,690000.0,12090.0,686000.0,-1755,-920,-464,,0.08968568340966712,0.12925624994038537,1,2,0.00496,3,Cash loans,State servant,Secondary / secondary special,House / apartment,Accountants,N,N
100303,139300.0,724000.0,23170.0,645000.0,365243,-6450,-4295,,0.35858759993256606,0.23288208513025058,0,2,0.04622,2,Cash loans,Pensioner,Higher education,With parents,Core staff,N,Y
100308,169100.0,971000.0,31800.0,914000.0,-1640,-6018,-2993,,0.17486275602559903,0.25490135002255776,1,3,0.00496,1,Cash loans,State servant,Secondary / secondary special,House / apartment,Accountants,N,N
100316,205500.0,1488000.0,113190.0,1397000.0,-1142,-225,-2874,0.22942833257201792,0.2205199908011551,,1,3,0.00963,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Accountants,N,Y
100323,158900.0,756000.0,10250.0,743000.0,-2727,-430,-4689,0.11126014879362095,0.07349999256298441,0.09729647915404528,0,2,0.00963,2,Cash loans,Working,Secondary / secondary special,House / apartment,Accountants,N,Y
100325,431400.0,1478000.0,63140.0,1375000.0,-1650,-8749,-4746,,0.045657258160115316,0.10442383337450302,0,1,0.02866,3,Cash loans,State servant,Secondary / secondary special,House / apartment,Sales staff,N,Y
100353,143900.0,1648000.0,34120.0,1470000.0,-1679,-6835,-4690,,0.21253960314327808,,0,2,0.00963,2,Cash loans,Working,Secondary / secondary special,House / apartment,Sales staff,Y,N
100357,94200.0,273000.0,16700.0,237000.0,365243,-4975,-369,,0.33529980606649434,0.3878461520639744,0,2,0.00963,2,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Managers,N,Y
100384,281400.0,1116000.0,67970.0,1054000.0,-937,-7069,-2589,0.3843669379859693,0.41305196985964593,0.3508479231316187,0,2,0.04622,2,Cash loans,Commercial associate,Secondary / secondary special,Municipal apartment,Laborers,N,N
100395,229000.0,1270000.0,18670.0,1021000.0,365243,-5008,-1265,0.05728368678844064,0.01441958259983344,0.01127128034560683,0,2,0.02866,1,Revolving loans,Pensioner,Secondary / secondary special,House / apartment,Drivers,N,Y
100396,99500.0,173000.0,13320.0,153000.0,365243,-2633,-3940,,0.007267873832295695,0.022128112172476285,0,2,0.02866,2,Cash loans,Pensioner,Higher education,Municipal apartment,Core staff,N,Y
100419,169400.0,810000.0,16990.0,774000.0,-3564,-4107,-4541,,0.17547020015267484,0.21518381947074747,1,2,0.00496,2,Cash loans,Commercial associate,Higher education,House / apartment,Managers,N,Y
100422,124500.0,254000.0,11790.0,205000.0,-3526,-4864,-5126,,0.0962574753997005,0.12004941905422314,1,3,0.00496,1,Cash loans,Commercial associate,Higher education,House / apartment,Managers,N,Y
100441,158000.0,1564000.0,41420.0,1499000.0,-2980,-3794,-5936,0.5470758751264068,0.34475566539698255,0.46098285624516144,2,4,0.00496,2,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Laborers,N,Y
100450,115400.0,579000.0,21390.0,492000.0,-1874,-7624,-3076,0.160364966510585,0.2062725232135853,0.1442241188271746,0,2,0.02866,2,Cash loans,State servant,Higher education,House / apartment,Accountants,N,N
100463,91500.0,399000.0,20880.0,385000.0,-1013,-7424,-1046,0.4694491211993021,0.26526836240151247,0.3247994106250023,2,4,0.04622,1,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Managers,Y,Y
100467,258500.0,2869000.0,29670.0,2685000.0,-1648,-4284,-917,,0.1284346933851273,0.19794864136455928,2,3,0.02866,2,Revolving loans,Working,Higher education,House / apartment,Laborers,N,Y
100481,285900.0,1167000.0,40450.0,1058000.0,-1510,-8693,-4849,0.36522031335815497,0.08814222361806634,0.2541060748295853,0,2,0.00963,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Drivers,Y,Y
100492,367800.0,1018000.0,61370.0,948000.0,-943,-5839,-4787,0.08003354411452895,0.1870004425765325,0.14120908613124436,1,3,0.03554,2,Cash loans,State servant,Higher education,House / apartment,Managers,N,Y
100499,211800.0,1274000.0,28950.0,1043000.0,365243,-8821,-507,,0.11151025438495815,,0,2,0.02866,2,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Accountants,N,N
100511,126900.0,469000.0,23100.0,443000.0,-1680,-4434,-1575,,0.21719146482574184,0.22278278532586096,0,2,0.01885,1,Cash loans,State servant,Higher education,House / apartment,Accountants,Y,Y
100522,405000.0,2237000.0,26800.0,1813000.0,-1297,-6940,-304,,0.07082702100604621,0.10925965030409186,0,1,0.00963,2,Revolving loans,Commercial associate,Secondary / secondary special,House / apartment,Core staff,N,Y
100528,219800.0,1013000.0,72460.0,1002000.0,365243,-1733,-3668,,0.5019431382492194,0.19820010415531472,0,2,0.04622,3,Revolving loans,Pensioner,Higher education,With parents,Accountants,N,Y
100533,260700.0,831000.0,72440.0,687000.0,-1472,-5757,-3946,0.31318424660030075,0.17977153192029516,0.21341488791256072,0,2,0.03554,1,Cash loans,State servant,Secondary / secondary special,House / apartment,Sales staff,N,N
100537,161800.0,579000.0,13140.0,512000.0,-5455,-7485,-1151,,0.1550340133027553,0.13314874388174114,0,2,0.03554,3,Cash loans,Commercial associate,Higher education,With parents,Sales staff,N,Y
100551,207300.0,1077000.0,46420.0,930000.0,-1253,-6323,-1085,0.22388641966578982,0.3808119062055737,0.3652378221311807,0,2,0.04622,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Managers,N,N
100562,151200.0,487000.0,44500.0,453000.0,365243,-698,-4206,,0.037856687953145084,0.12857935574455526,0,2,0.02866,2,Revolving loans,Pensioner,Secondary / secondary special,With parents,Sales staff,Y,N
100576,197500.0,734000.0,27510.0,679000.0,365243,-3035,-1362,0.2382763241735724,0.12207643031634532,0.22133219512662303,0,2,0.04622,2,Cash loans,Pensioner,Incomplete higher,House / apartment,Drivers,N,Y
100585,254300.0,693000.0,20980.0,585000.0,-1191,-4107,-788,,0.061730669313867705,0.1569523511143294,0,2,0.01885,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Drivers,N,Y
100603,154500.0,575000.0,21350.0,531000.0,-2204,-3784,-602,,0.09729625530819232,0.14524980326786743,0,2,0.04622,2,Cash loans,Working,Secondary / secondary special,Municipal apartment,Laborers,Y,Y
100621,217500.0,1013000.0,15610.0,997000.0,365243,-4227,-1393,,0.039864602467990666,0.15683783817605615,0,1,0.00496,2,Cash loans,Pensioner,Higher education,House / apartment,Sales staff,Y,Y
100631,87800.0,233000.0,18130.0,231000.0,-1832,-4019,-909,,0.1853882423046866,0.41597037622472066,2,4,0.02866,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Laborers,Y,Y
100632,176300.0,1177000.0,48140.0,973000.0,-1261,-7155,-3767,,0.2892195710017249,0.3626899885475934,0,1,0.00963,2,Revolving loans,Commercial associate,Incomplete higher,House / apartment,Sales staff,N,N
100638,227000.0,1664000.0,17380.0,1513000.0,365243,-5807,-5224,,0.14671360026813088,0.1753397978616702,1,3,0.04622,2,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Sales staff,N,Y
100640,93600.0,384000.0,17000.0,331000.0,-6146,-4364,-3378,0.2218142008980705,0.20679735653347628,,1,3,0.02866,2,Cash loans,Working,Secondary / secondary special,House / apartment,Drivers,Y,N
100650,92000.0,274000.0,24090.0,220000.0,-114,-8871,-2329,,0.1974897304843568,,0,2,0.00496,2,Cash loans,Working,Higher education,House / apartment,Managers,N,Y
100652,122800.0,667000.0,18280.0,612000.0,-2565,-3752,-2024,,0.16062266687598528,0.3649268397210956,1,3,0.02866,2,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Core staff,Y,N
100656,147600.0,607000.0,7370.0,501000.0,365243,-3967,-3196,,0.10169246693230777,0.18397470368488683,1,3,0.03554,2,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Core staff,N,Y
100663,207500.0,1156000.0,17660.0,1133000.0,-1681,-8022,-634,,0.05417613467502738,0.0719936345610263,0,1,0.04622,1,Cash loans,Working,Higher education,House / apartment,Sales staff,Y,Y
100666,67700.0,496000.0,6200.0,412000.0,-4581,-5974,-4967,,0.25627752278693794,0.27145038661155396,1,3,0.00496,1,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Drivers,Y,Y
100669,324400.0,1302000.0,58630.0,1156000.0,365243,-6214,-1805,,0.1629334097472375,0.187002407825017,1,3,0.01885,2,Cash loans,Pensioner,Higher education,House / apartment,Laborers,Y,Y
100676,152400.0,617000.0,11710.0,602000.0,-4949,-5226,-1569,,0.32185761680047,0.1824084694773325,1,3,0.00496,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Laborers,Y,N
100686,605600.0,3085000.0,242920.0,2799000.0,-4248,-2791,-4018,0.2575620639917805,0.2840739413974361,0.3480519063534903,0,2,0.00963,1,Cash loans,State servant,Secondary / secondary special,House / apartment,Core staff,Y,Y
100691,335300.0,1612000.0,118620.0,1403000.0,365243,-2536,-5543,0.34887366794970603,0.231543929730471,0.3924414472466058,1,3,0.01885,1,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Laborers,N,Y
100698,416800.0,1696000.0,60660.0,1425000.0,-722,-4558,-2876,,0.1873243006267563,0.17044737111587066,0,2,0.00963,2,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Sales staff,Y,Y
100731,211800.0,946000.0,15870.0,834000.0,365243,-5387,-4779,,0.08846658687697784,0.07561921004287318,0,2,0.00963,2,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Sales staff,N,Y
100739,156000.0,607000.0,34470.0,503000.0,-2438,-7556,-2802,0.1363836178135099,0.11482223060658431,0.13792443207965258,0,1,0.00496,2,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Drivers,N,Y
100741,161200.0,219000.0,8090.0,186000.0,-2391,-5094,-1391,0.06305886990934335,0.013046173066621614,0.03775700318330863,0,2,0.01885,2,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Sales staff,Y,Y
100746,100700.0,266000.0,13270.0,222000.0,-2145,-2991,-5331,0.5555904417476324,0.25588930533102155,0.22864130465619667,0,2,0.04622,2,Cash loans,Commercial associate,Secondary / secondary special,Rented apartment,Sales staff,Y,Y
100761,297600.0,1379000.0,106590.0,1114000.0,-934,-1598,-4499,,0.4931075553926027,0.3616049438774918,0,2,0.03554,2,Cash loans,Working,Secondary / secondary special,House / apartment,Laborers,N,N
100767,200500.0,496000.0,33750.0,427000.0,-1620,-3419,-1036,,0.21513580786960054,0.2213877250706922,0,2,0.00963,2,Cash loans,State servant,Higher education,Rented apartment,Drivers,N,Y
100771,244400.0,903000.0,32030.0,781000.0,-1756,-1564,-2557,0.10357717061692528,0.08307322090581458,0.22186186866145366,0,2,0.03554,3,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Accountants,N,Y
100801,193300.0,778000.0,16400.0,770000.0,365243,-364,-977,0.1572195247555691,0.05192018280688151,0.045734082086817056,0,2,0.02866,2,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Core staff,N,Y
100802,303300.0,1661000.0,80400.0,1348000.0,-680,-1524,-194,,0.34152384762741433,,1,3,0.01885,1,Cash loans,State servant,Secondary / secondary special,House / apartment,Managers,N,N
100810,113500.0,211000.0,17520.0,186000.0,-2280,-2014,-4301,,0.24393900324782564,0.2056471229491675,0,2,0.04622,2,Cash loans,State servant,Secondary / secondary special,With parents,Core staff,Y,N
100812,175500.0,792000.0,33480.0,770000.0,-4753,-8332,-5342,,0.2709864496536735,0.247903595430227,0,2,0.00496,3,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Sales staff,Y,Y
100820,169800.0,386000.0,19320.0,375000.0,365243,-5599,-4504,,0.05276000459557454,0.04407608077295348,0,2,0.00496,1,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Accountants,N,N
100875,151700.0,539000.0,12690.0,529000.0,-2190,-818,-2498,0.2622962515793647,0.14804670046740112,0.13639122694620928,0,2,0.01885,2,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Managers,Y,Y
100892,188300.0,827000.0,74490.0,733000.0,-3011,-1921,-3533,0.2748236963387868,0.2500618348699719,,0,1,0.01885,3,Cash loans,State servant,Secondary / secondary special,House / apartment,Laborers,Y,Y
100893,177500.0,388000.0,29810.0,360000.0,365243,-5398,-4376,0.3114492945444735,0.23337217328718243,0.09630488467983847,0,2,0.04622,1,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Sales staff,N,Y
100902,792600.0,4344000.0,189490.0,3483000.0,-3203,-1986,-3570,,0.23043207224861995,,2,4,0.01885,2,Cash loans,State servant,Higher education,House / apartment,Core staff,N,Y
100918,178000.0,1271000.0,41220.0,1134000.0,-1537,-5812,-2657,,0.14382832824046074,0.40929772421962257,1,2,0.00496,2,Cash loans,Working,Secondary / secondary special,House / apartment,Laborers,N,N
100939,293400.0,2069000.0,155030.0,1811000.0,-3122,-5278,-293,0.5791621591666375,0.42944586303319193,0.484131407419525,1,3,0.00963,2,Cash loans,State servant,Higher education,House / apartment,Managers,N,N
100943,240700.0,1734000.0,63620.0,1664000.0,-4121,-943,-551,,0.27180629356081004,,3,4,0.03554,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Laborers,N,Y
100948,209400.0,617000.0,13450.0,541000.0,-1705,-4639,-4475,,0.07622414358742878,0.11524693747670843,0,2,0.01885,2,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Core staff,Y,Y
100959,431600.0,3300000.0,223180.0,2785000.0,-2314,-3864,-5998,0.34687163991230757,0.4064954924338636,0.4595930229058728,0,1,0.01885,2,Cash loans,Working,Secondary / secondary special,House / apartment,Drivers,N,N
100989,124000.0,309000.0,25790.0,294000.0,365243,-7297,-497,,0.10082659639781458,,0,2,0.03554,2,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Sales staff,Y,N
100992,213500.0,1392000.0,35030.0,1203000.0,-1314,-2387,-2418,0.4277137251200103,0.16939461742551262,0.2894094173085216,0,2,0.01885,2,Cash loans,Working,Secondary / secondary special,House / apartment,Drivers,N,Y
100993,190300.0,1548000.0,27850.0,1240000.0,-1670,-8451,-1168,0.2885577742856464,0.1998102642016905,0.2752780305010363,0,2,0.01885,2,Cash loans,State servant,Secondary / secondary special,House / apartment,Laborers,N,N
101007,129900.0,1061000.0,11080.0,888000.0,365243,-2864,-3690,,0.2071177456065585,0.27065435664767246,0,2,0.00963,2,Cash loans,Pensioner,Secondary / secondary special,House / apartment,Laborers,N,Y
101009,117100.0,475000.0,23810.0,466000.0,-4259,-7021,-1864,,0.26602582576155154,0.34777968629504774,0,2,0.03554,1,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Sales staff,N,Y
101035,414500.0,1470000.0,,1179000.0,-2253,-8002,-3191,,0.025011695610419847,0.048173264030954885,0,2,0.00963,2,Cash loans,Working,Secondary / secondary special,House / apartment,Laborers,Y,N
101037,109500.0,827000.0,9200.0,687000.0,-3810,-2862,-319,,0.17467918427913448,0.1520592676807396,1,3,0.02866,2,Cash loans,Working,Secondary / secondary special,House / apartment,Accountants,Y,N
101075,144900.0,277000.0,7270.0,267000.0,-6195,-3585,-571,,0.10787646684958951,0.08385240794449908,0,2,0.04622,1,Cash loans,Commercial associate,Higher education,House / apartment,Managers,N,N
101081,265500.0,1404000.0,55970.0,1201000.0,365243,-4919,-4080,,0.2069306158292653,0.2663622471828804,0,2,0.01885,3,Revolving loans,Pensioner,Secondary / secondary special,House / apartment,Managers,Y,N
101086,102800.0,312000.0,6400.0,286000.0,-1829,-4223,-306,0.19278702501036943,0.10333049651105246,0.1351586808544054,0,2,0.01885,2,Cash loans,Working,Secondary / secondary special,House / apartment,Laborers,N,Y
101092,153400.0,637000.0,28820.0,562000.0,-1575,-8871,-4566,0.13925261582586274,0.12504608931745217,0.14955313982791563,0,2,0.00496,2,Cash loans,State servant,Higher education,House / apartment,Sales staff,Y,Y
101104,84200.0,276000.0,6000.0,241000.0,-2476,-985,-3880,0.09217631543434372,0.1102457100909264,0.12190957852489381,0,2,0.00496,3,Cash loans,Commercial associate,Secondary / secondary special,House / apartment,Sales staff,Y,N
